Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Olfr901|MOR162-8|-|9|9 A5.1|protein-coding	0	0	0	0	0	0	0	0
Pgm3|2810473H05Rik|Agm1|BB187688|C77933|PAGM|Pgm-3|-|9 E3.1|9 46.58 cM|protein-coding	12	6	15	13	16	13	9	16
Lrp4|6430526J12Rik|D230026E03|Megf7|mdig|-|2 E1|2 50.63 cM|protein-coding	0	0	1	1	0	0	0	0
Olfr220|EG546747|MOR103-13P|MOR103-17|Olfr220-ps1|Olfr413-ps1|-|1|1 H3|protein-coding	0	0	0	0	0	0	0	0
Tas1r3|Sac|T1r3|-|4 E2|4 87.65 cM|protein-coding	0	0	0	0	0	1	0	0
Pet117|Gm20571|-|2|2 G1|protein-coding	0	0	0	0	0	0	0	0
Icam2|CD102|Icam-2|Ly-60|-|11 E1|11 69.09 cM|protein-coding	14	15	11	6	6	2	6	11
Coq2|2310002F18Rik|PHB:PPT|-|5|5 E4|protein-coding	12	8	19	13	20	16	14	19
BC039771|-|-|2|2 G1|ncRNA	0	0	0	0	0	0	0	0
Ntn4|-|-|10|10 C2|protein-coding	0	0	0	2	0	0	1	1
BC024978|-|-|7|7 A3|protein-coding	0	0	2	1	0	4	0	2
Gm13057|OTTMUSG00000010207|-|4|4 E1|protein-coding	0	0	0	0	0	0	0	0
BC051665|-|-|13|13 B2|protein-coding	0	0	0	0	0	0	0	0
Iws1|1700069O15Rik|3000008H23|AL117927|AW214353|-|18|18 B1|protein-coding	8	7	16	7	3	8	2	9
Mybphl|1110037P11Rik|-|3|3 F3|protein-coding	0	0	0	0	0	0	0	0
Sox5os3|4933425H06Rik|-|6|6 G3|ncRNA	0	0	0	0	0	0	0	0
Tppp3|2700055K07Rik|CGI-38|Ceacam9|mmCGM8|-|8|8 D3|protein-coding	26	17	25	25	41	29	26	31
4930511E03Rik|-|-|6|6 D2|ncRNA	0	0	1	0	0	0	0	0
Opcml|2900075O15Rik|3732419F12|AI844366|B930023M13Rik|C230027C17|Gm181|Obcam|-|9 A4|9 13.73 cM|protein-coding	0	0	0	0	0	0	1	0
Diaph2|Dia3|Diap2|Drf2|E430022I22Rik|-|X|X E3|protein-coding	11	9	5	5	9	10	4	3
Nmnat3|4933408N02Rik|PNAT3|-|9|9 E3.3|protein-coding	4	2	5	3	4	14	2	3
Spry2|sprouty2|-|14 E2.3|14 56.16 cM|protein-coding	4	6	3	3	3	1	2	2
Ptpmt1|1110001D10Rik|2810004N20Rik|PLIP|-|2|2 E1|protein-coding	100	68	85	93	93	95	79	106
Bloodlinc|Gm11616|OTTMUSG00000002784|-|11 D|11 66.29 cM|ncRNA	0	0	0	0	0	0	0	0
Slfn1|AV316259|-|11 C|11 50.3 cM|protein-coding	0	0	0	0	0	0	0	0
Ddrgk1|1110001I20Rik|2600009E05Rik|AI326138|Ufbp1|-|2|2 F1|protein-coding	161	62	143	117	116	158	141	114
Pcbd1|Dcoh|Pcbd|Pcd|Phs|-|10 B4|10 32.14 cM|protein-coding	13	7	5	6	8	8	4	9
Gm21379|-|-|Y A1|Y|protein-coding	0	0	0	0	0	0	0	0
Cd300ld5|Gm11711|OTTMUSG00000003606|-|11|11 E2|protein-coding	0	0	0	0	0	0	0	0
Atp6v0c|Atp6c|Atp6c2|Atp6l|Atpl|Atpl-rs1|PL16|VATL|Vma3|-|17|17 A3.3|protein-coding	37	29	26	25	28	40	23	26
Mir30a|Mirn30a|mir-30a|mmu-mir-30a|-|1|1 A5|ncRNA	0	0	0	0	0	0	0	0
Agbl4|4930578N11Rik|4931433A01Rik|-|4|4 C7-D1|protein-coding	8	3	6	8	3	5	3	2
Oas2|Oasl11|-|5 F|5 60.64 cM|protein-coding	0	0	0	0	2	0	0	1
Dhx9|AI326842|Ddx9|HEL-5|NDHII|RHA|mHEL-5|-|1 G3|1 65.37 cM|protein-coding	11	12	20	18	21	17	8	19
Olfr1229|MOR233-19|MOR233-22|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Commd10|2310003A05Rik|AU019438|DRWMS2|-|18|18 C|protein-coding	69	63	72	58	56	82	63	62
Olfr380|MOR135-1|-|11|11 B4|protein-coding	0	0	0	0	0	0	0	0
Olfr1415|MOR103-12|-|1|1 D|protein-coding	0	0	0	0	0	0	0	0
Gm15217|OTTMUSG00000019524|-|14|14 C1|ncRNA	0	0	1	0	1	0	0	1
Hspb7|27kDa|Hsp25-2|cvHsp|-|4|4 D3|protein-coding	1	0	0	0	0	0	1	0
Tbc1d2b|1810061M12Rik|AI480956|AV021536|AV023399|AW491493|mKIAA1055|-|9|9 E3.1|protein-coding	10	7	5	7	11	7	5	2
Hdac2|D10Wsu179e|YAF1|Yy1bp|mRPD3|-|10 19.44 cM|10 B1|protein-coding	13	8	14	14	16	16	12	10
Acsbg2|Bgr|-|17|17 D|protein-coding	0	0	0	0	0	0	0	0
Vmn1r63|V1R1|V1rd1|V3R1|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
4930419G24Rik|-|-|3|3 A3|ncRNA	0	0	0	0	0	0	0	0
Slc5a4b|2010104G07Rik|SAAT1|SGLT3-b|SGLT3b|pSGLT2|-|10|10 C1|protein-coding	0	0	0	0	0	0	0	0
Gm5478|EG432987|-|15 F2|15|pseudo	0	0	0	0	0	0	0	0
Arhgap11a|6530401L14Rik|mKIAA0013|-|2|2 E4|protein-coding	0	1	4	2	3	2	0	3
Prkag2os1|4933426D04Rik|-|5|5 A3|ncRNA	0	0	0	0	0	0	0	0
Mir344d-1|mir-344d-1|mmu-mir-344d-1|-|7 C|7 34.27 cM|ncRNA	0	0	0	0	0	0	0	0
Pcolce|Astt-2|Astt2|P14|PCPE-1|-|5 G2|5 76.59 cM|protein-coding	215	126	248	219	216	269	260	252
Olfr533|MOR252-3P|-|7|7 F4|protein-coding	0	0	0	0	0	0	0	0
Specc1|2810012G08Rik|B230396K10Rik|Cytsb|-|11|11 B2|protein-coding	5	7	7	1	6	11	9	9
Lrrc59|AA959742|C78668|-|11|11 D|protein-coding	110	53	75	62	88	115	70	75
Xaf1|Fbox39|-|11|11 B4|protein-coding	175	111	6	12	146	123	34	56
Defa34|ENSMUSG00000063206|Gm15315|OTTMUSG00000019924|-|8 A2|8|protein-coding	0	0	0	0	0	0	0	0
Tap1|ABC17|APT1|Abcb2|Ham-1|Ham1|MTP1|PSF1|RING4|TAP|Tap-1|Y3|-|17 B1|17 17.98 cM|protein-coding	287	213	8	18	264	280	21	32
Dirc2|RCC4|-|16|16 B3|protein-coding	16	13	12	12	14	10	10	16
Ska3|F630043A04Rik|-|14|14 C3|protein-coding	2	1	2	3	3	6	1	3
Entpd7|1810012B13Rik|1810020C02Rik|2810003F23Rik|LALP1|Lysal2|-|19|19 C3|protein-coding	7	2	3	0	5	4	4	3
Cntnap5c|Caspr5-3|EG620292|Gm325|-|17|17 D|protein-coding	0	0	0	0	0	0	0	0
1700016C15Rik|-|-|1|1 H4|protein-coding	0	2	2	0	3	2	2	0
Gm7854|EG665934|ENSMUSG00000054483|-|5|5 B3|ncRNA	1	0	0	0	0	0	0	0
Oser1|3230401D17Rik|AI256769|Perit1|-|2|2 H3|protein-coding	1	1	2	3	3	2	1	0
Gm6567|-|-|7 D1|7|ncRNA	0	0	0	0	0	0	0	0
Erich6b|4930564B18Rik|-|14|14 D3|protein-coding	0	0	0	0	0	0	0	0
Snora16a|-|-|4 D2.3|4|snoRNA	0	0	0	0	0	0	0	0
Uhrf2|2310065A22Rik|AI426270|AW214556|D130071B19Rik|Nirf|-|19|19 C1|protein-coding	6	6	9	8	1	6	6	13
Zfp292|5730450D02Rik|5830493J20Rik|9430062L07Rik|AI449016|Krox-10|Zfp-15|Zfp15|Zn-15|Zn-16|mKIAA0530|-|4 A5|4 16.86 cM|protein-coding	9	9	11	4	10	11	5	5
Olfr1093|MOR179-6|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Olfr613|MOR20-1|Olfr613-ps1|Olfr614|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Slc16a5|A130015N09Rik|MCT 5|MCT 6|MCT5|-|11|11 E2|protein-coding	0	0	0	0	0	0	0	0
Tldc2|Gm1332|-|2|2 H1|protein-coding	0	0	0	0	0	0	0	0
Slfn5|AI956840|-|11|11 C|protein-coding	11	11	1	1	4	2	0	1
Mir493|Mirn493|mmu-mir-493|-|12 F1|12|ncRNA	0	0	0	0	0	0	0	0
Gabra3|Gabra-3|-|X A7.3|X 37.24 cM|protein-coding	0	0	0	0	0	1	0	1
Hk1os|2210417K05Rik|-|10|10 B4|ncRNA	12	7	6	5	9	13	8	7
Mir467a-4|Mirn467a-4|mmu-mir-467a-4|-|2 A1|2|ncRNA	0	0	0	0	0	0	0	0
Xlr3c|Xlr3b|-|X|X A7.3|protein-coding	0	0	0	0	0	0	0	0
Gm14169|OTTMUSG00000015869|-|2 H1|2 77.54 cM|ncRNA	0	0	1	1	0	0	0	1
Tcp10c|D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c|-|17|17 A1|protein-coding	0	0	0	0	0	0	0	0
Btg3|ANA|tob5|-|16|16 C3.1|protein-coding	7	6	2	0	4	4	6	6
Klk1b11|Klk11|mGK-11|-|7 B3|7 28.48 cM|protein-coding	0	0	0	0	0	0	0	0
Tuba1a|Tuba-1|Tuba1|-|15 F1|15 55.29 cM|protein-coding	526	316	417	405	429	515	337	407
Mir7052|Gm27583|mmu-mir-7052|-|7|7 B3|ncRNA	0	2	0	0	1	0	1	0
Ap3s1|-|-|18|18 C|protein-coding	23	29	17	15	20	22	14	25
Nkain4|AB030182|C030019F02Rik|-|2|2 H4|protein-coding	3	1	2	0	0	0	1	1
Snip1|2410133M08Rik|-|4|4 D2.2|protein-coding	18	12	12	19	27	24	11	20
Vwa7|C6orf27|D17H6S56E-3|G7c|NG37|-|17 B1|17 18.55 cM|protein-coding	3	2	5	3	1	2	1	2
Mrm1|A530065E19Rik|ENSMUSG00000054212|-|11|11 C|protein-coding	13	6	11	19	16	20	12	8
Txndc2|AU021712|Sptrx-1|Sptrx1|Trx4|-|17|17 E1.1|protein-coding	0	1	0	0	0	0	0	0
Surf4|AL033340|AL033373|Surf-4|-|2 A3|2 19.1 cM|protein-coding	633	468	531	506	556	675	456	569
4930570G19Rik|C630015G22|-|3|3 H4|ncRNA	0	0	0	0	0	0	0	0
Uckl1os|Gm16119|OTTMUSG00000030649|-|2 H4|2 103.67 cM|ncRNA	0	0	0	0	0	0	0	0
1700049E22Rik|-|-|6|6 D3|ncRNA	0	0	0	0	0	0	0	0
Anapc11|1110011I19Rik|R75218|-|11|11 E2|protein-coding	317	217	289	274	266	311	269	269
Traf3|AI528849|CAP-1|CD40bp|CRAF1|LAP1|T-BAM|amn|-|12 F1|12 60.94 cM|protein-coding	22	16	20	24	17	24	13	10
Smarcd3|1500001J14Rik|2210409C08Rik|BAF60C|-|5|5 A3|protein-coding	28	14	28	23	27	27	20	22
Tpra1|40kDa|Gpr175|Tpra40|-|6|6 D1|protein-coding	117	73	80	72	111	134	99	76
Ube2m|2510040H03Rik|UBC12|Ubc-rs2|-|7 A1|7 7.73 cM|protein-coding	105	70	69	82	104	106	85	102
Rabgap1|Gapcena|mKIAA4104|-|2|2 B|protein-coding	21	11	15	16	23	21	14	13
Col27a1|5730512J02Rik|AI449266|-|4|4 B3|protein-coding	3	0	5	2	3	3	2	4
Tax1bp3|1300011C24Rik|TIP-1|-|11|11 B4|protein-coding	6	3	7	4	6	4	8	3
Actl7a|Tact2|-|4 B3|4 31.66 cM|protein-coding	0	0	0	0	0	0	0	0
Pou4f3|Brn3.1|Brn3c|ddl|dreidel|-|18 B3|18 22.58 cM|protein-coding	0	0	0	0	0	0	0	0
Gm38671|Mir9768|mmu-mir-9768|-|8|8 A1.1|ncRNA	0	0	0	0	0	0	0	0
Prrc1|1190002C06Rik|2310058D16Rik|3110038B19Rik|9430085A19Rik|-|18|18 D3|protein-coding	60	39	42	48	46	40	30	38
2610027K06Rik|-|-|11|11 C|ncRNA	0	0	0	1	0	0	0	0
Nolc1|NOPP130|NOPP140|P130|-|19|19 C3|protein-coding	41	19	40	33	35	46	28	42
AU022252|AI450326|-|4|4 D2.1|protein-coding	45	28	36	30	33	47	32	37
Fam175a|3830405G04Rik|5630400M01Rik|AI506069|AL024423|AV118690|Ccdc98|-|5|5 E4|protein-coding	7	4	9	4	5	7	6	8
Olfr1162|MOR174-14|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Snora81|MBI-61|-|16 B1|16|snoRNA	0	0	0	0	0	0	0	0
Kctd1|4933402K10Rik|AI661543|AW553000|-|18|18 A1|protein-coding	21	11	18	10	6	19	13	13
Tenm1|Odz1|Odz2|TCAP-1|Ten-m1|ten-1|-|X|X A4|protein-coding	0	0	0	0	0	0	0	0
Olfr312|GA_x5J8B7W3UM0-1747565-1747342|MOR222-4P|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
Lrrtm2|AI851755|BB129880|C630011A14Rik|mKIAA0416|-|18|18 B1|protein-coding	1	1	0	2	3	2	1	2
Snhg3|Rnu17d|U17HG|-|4|4 D2.3|ncRNA	6	5	7	9	8	19	17	20
Mir6937|Gm27448|mmu-mir-6937|-|12|12 A2|ncRNA	0	0	0	0	0	0	0	0
Ints12|1110020M19Rik|2810027J24Rik|4930529N21Rik|A230056J18Rik|AI666778|Phf22|int12|-|3|3 G3|protein-coding	18	21	11	7	6	14	13	10
Mettl7b|0610006F02Rik|AI266817|-|10|10 D3|protein-coding	0	1	1	0	0	0	0	0
BC051537|-|-|17 B1|17|ncRNA	0	0	0	0	0	0	0	0
Shisa8|Orf26|ckamp39|-|15|15 E1|protein-coding	0	1	1	2	0	0	1	0
Mrgprd|Gm499|Mgrd|MrgD|TGR7|-|7|7 F5|protein-coding	0	0	0	0	0	0	0	0
Mmachc|1810037K07Rik|CblC|-|4|4 D1|protein-coding	32	30	30	41	25	34	24	37
Odf2|AI848335|MMTEST29|-|2 B|2 20.79 cM|protein-coding	27	15	32	30	14	43	34	43
Kcnd2|AI839615|AW555701|Kv4.2|R75121|mKIAA1044|-|6 A2-A3.1|6 8.49 cM|protein-coding	0	0	0	0	0	0	0	0
Dynlt1b|AGS2|Dynlt1|Tctex-1|Tctex1|-|17 A1|17 3.97 cM|protein-coding	4	0	1	4	1	0	1	0
Olfr1213|MOR233-7|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Ntsr2|NT2R|NTRL|-|12 A1.1|12 7.98 cM|protein-coding	0	0	0	0	0	0	0	0
Nbn|Nbs1|-|4|4 A2|protein-coding	3	5	2	9	3	7	13	4
Olfr748|MOR106-9P|-|14|14 C1|protein-coding	0	0	0	0	0	0	0	0
Mfsd13b|4933427G17Rik|-|7|7 F2|protein-coding	0	0	4	0	1	0	0	0
Slc30a3|Znt3|-|5 B1|5 16.97 cM|protein-coding	1	2	2	0	1	2	2	1
Flywch2|2810417J12Rik|3010014L17Rik|AW548203|-|17|17 A3.3|protein-coding	16	19	20	20	15	18	11	17
Serinc1|1500011D18Rik|AI315070|AIGP-2|TMS-2|Tde1l|Tde2|Tms2|mKIAA1253|-|10|10 B4|protein-coding	196	124	172	156	146	183	157	174
Gm36633|-|-|7 D1|7|ncRNA	0	0	0	0	0	0	0	0
Lats2|4932411G09Rik|AV277261|AW228608|-|14|14 C3|protein-coding	77	57	40	41	56	90	36	42
Pcdhb2|PcdhbB|-|18|18 B3|protein-coding	0	0	0	0	0	0	0	0
E330014E10Rik|-|-|5|5 E3|protein-coding	0	0	0	0	0	0	0	0
Mtf2|9230112N11Rik|AA537621|C76717|M96|Pcl2|-|5|5 F|protein-coding	13	9	16	8	11	10	7	9
Gm26633|-|-|7 D2|7|ncRNA	0	0	0	0	0	0	0	0
Vmn2r75|EG546981|-|7|7 D3|protein-coding	0	0	0	0	0	0	0	0
Ercc3|BTF2 p89|Ercc-3|XPB|-|18|18 B1|protein-coding	28	16	30	24	26	21	18	15
Npc1|A430089E03Rik|C85354|D18Ertd139e|D18Ertd723e|lcsd|nmf164|spm|-|18 A1|18 6.15 cM|protein-coding	21	16	25	21	17	26	27	28
Rpl23|2810009A01Rik|-|11 D|11 61.1 cM|protein-coding	76	47	53	48	69	70	61	46
Pabpn1|PAB2|Pabp3|mPABII|-|14 C2|14 27.98 cM|protein-coding	35	26	32	30	28	41	33	25
Cfhr1|AI194696|CFHRB|Cfhl1|-|1|1 F|protein-coding	0	0	0	0	0	0	0	0
Rab7|Rab7a|-|6 D1|6 39.13 cM|protein-coding	482	320	380	373	405	534	354	432
Mpp3|6430514B01|Dlgh3|-|11 D|11 65.48 cM|protein-coding	0	0	0	0	0	0	0	0
Mir126a|Mir126|Mirn126|mir-126a|mmu-mir-126|mmu-mir-126a|-|2|2 A3|ncRNA	0	0	0	0	0	0	0	0
Fbxw24|EG382106|Gm5162|-|9 F2|9|protein-coding	0	0	0	0	0	0	0	0
Bhlha9|A830053O21Rik|Fingerin|-|11|11 B5|protein-coding	0	0	0	0	0	0	0	0
Cdh4|AW120700|R-CAD|R-Cadh|Rcad|-|2 H4|2 101.86 cM|protein-coding	0	0	1	1	0	0	0	0
Vps11|1200011A11Rik|-|9|9 A5.2|protein-coding	51	33	40	32	44	50	31	46
Mir717|Mirn717|mir-717|mmu-mir-717|-|X A5|X|ncRNA	0	0	0	0	0	0	0	0
Klhdc2|2310022K15Rik|D12Ertd522e|HCLP-1|LCP|-|12 C2|12 28.77 cM|protein-coding	37	25	41	31	32	43	25	33
Adam26a|Adam26|Dtgn4|-|8|8 A4|protein-coding	0	0	0	0	0	0	0	0
Mcrs1|C78274|ICP22BP|MSP58|P78|-|15|15 F1|protein-coding	32	15	23	33	30	39	24	35
Slc15a4|AA987064|AW742963|C130069N12Rik|PHT1|PTR4|-|5|5 G1.2|protein-coding	30	15	22	14	35	35	19	34
Olfr235|MOR214-3|Olfr232|Olfr232-ps1|Olfr235-ps1|Olfr245|Olfr245-ps1|-|19|19 A|protein-coding	0	0	0	0	0	0	0	0
1300002E11Rik|1500026P21Rik|-|16|16 B1|ncRNA	33	32	35	25	44	41	39	35
Prss54|4931432M23Rik|Klkbl4|-|8|8 C5|protein-coding	0	0	0	0	0	0	0	0
BC002163|-|-|16|16 B4|pseudo	696	575	590	602	644	717	581	641
Manbal|1810024K12Rik|AI836500|-|2|2 H1|protein-coding	161	109	108	139	157	182	120	148
Mir683-1|Gm26093|Mirn683|Mirn683-1|Mirn683a|mmu-mir-683|mmu-mir-683-1|-|13 A5|13|ncRNA	0	0	0	0	0	0	0	0
Tcl1b5|D12Ertd644e|-|12 E|12 55.23 cM|protein-coding	0	0	0	0	0	0	0	0
1700041C23Rik|-|-|9|9 B|ncRNA	0	0	0	0	0	0	0	0
Ccpg1|1700030B06Rik|1810073J13Rik|9430028F23Rik|AI426686|AI875170|CPR8|D9Ertd392e|-|9 D|9 40.08 cM|protein-coding	96	65	114	92	84	122	103	103
Rpl39l|4930517K11Rik|-|16|16 A1|protein-coding	0	0	0	0	0	0	0	0
Crct1|2300002G24Rik|AA589624|Nice-1|-|3|3 F1|protein-coding	132	86	68	88	118	168	74	104
Ptma|Thym|-|1|1 C5|protein-coding	142	89	91	80	94	145	77	80
6030468B19Rik|-|-|11|11 E2|protein-coding	0	0	0	0	0	0	0	0
Bcl2l15|Bfk|Gm566|-|3|3 F2.2|protein-coding	2	0	1	1	0	0	1	0
Mir3087|mir-3087|mmu-mir-3087|-|2 A3|2 17.26 cM|ncRNA	0	0	0	0	0	0	0	0
Mrps18b|2400002C15Rik|-|17|17 B1|protein-coding	6	3	3	8	12	6	4	3
Cbln1|AI323299|-|8 C3|8 42.16 cM|protein-coding	0	0	0	0	0	0	0	0
Gm27775|Mir6967|Mir6967-1|mmu-mir-6967|mmu-mir-6967-1|-|17|17 A3.3|ncRNA	0	0	0	0	0	0	0	0
Tmx4|2810417D04Rik|4930500L08Rik|AI843224|AW046784|D2Bwg1356e|Txndc13|mKIAA1162|-|2 F2|2 65.66 cM|protein-coding	65	31	54	55	36	61	39	39
Lysmd2|2210402C18Rik|AV033872|AW538442|-|9|9 D|protein-coding	16	13	10	13	13	14	12	10
Prr23a1|EG623166|Gm6400|Prr23a|-|9|9 E3.3|protein-coding	0	0	0	0	0	0	0	0
Ruvbl2|mp47|p47|-|7|7 B3|protein-coding	69	47	58	52	69	66	40	47
Dynlt3|2310075M16Rik|AU042796|Tcte1l|-|X|X A1.1|protein-coding	318	269	341	336	353	396	347	366
Epg5|4732475F16|5430411K18Rik|AI661957|AW456499|mKIAA1632|-|18|18 E3|protein-coding	7	3	3	9	4	3	4	2
Trmt1|6720406L13Rik|6720477L24|D8Ertd812e|-|8 C2|8 41.02 cM|protein-coding	23	7	12	22	19	27	13	16
Kcne1|Isk|MinK|nmf190|-|16 C4|16 53.57 cM|protein-coding	1	1	1	0	2	2	1	2
Ppip5k2|AW555814|Cfap160|D330021B20|Hisppd1|Vip2|mKIAA0433|-|1|1 D|protein-coding	2	7	2	1	7	1	2	3
Plcz1|1700041H07Rik|PLCzeta|-|6|6 G2|protein-coding	0	0	0	0	0	0	0	0
Tmem106b|2310036D22Rik|5830455K21Rik|6430519M21Rik|AI428776|AI661344|-|6|6 A1|protein-coding	83	48	68	71	70	56	57	63
Tmem167|0610041E09Rik|5730424F14Rik|AU041184|AW537806|ENSMUSG00000060669|Gm10085|Tmem167a|-|13|13 C3|protein-coding	258	190	222	210	203	235	184	220
Gm14725|OTTMUSG00000017827|-|X A7.2|X|protein-coding	0	0	0	0	0	0	0	0
Nek8|4632401F23Rik|b2b1449Clo|jck|-|11 B5|11 46.74 cM|protein-coding	13	12	28	23	22	22	9	23
Gm2022|-|-|12 D2|12|protein-coding	0	0	0	0	0	0	0	0
2810428I15Rik|-|-|8 B3.3|8|protein-coding	161	112	146	131	144	170	121	149
Vmn1r228|V1re3|Vldr1|-|17|17 A3.2|protein-coding	0	0	0	0	0	0	0	0
Rps19-ps3|BE292558|Gm13143|OTTMUSG00000010662|Rps19-ps|-|4 E1|4|pseudo	70	24	48	45	37	54	37	33
Plpp2|Lpp2|PAP2-G|PAP2-gamma|PAP2c|Ppap2c|-|10 C1|10 39.72 cM|protein-coding	105	61	91	96	97	126	76	87
Olfr1449|MOR202-34|-|19|19 A|protein-coding	0	0	0	0	0	0	0	0
Nit2|1190017B19Rik|D16Ertd502e|-|16 C1.1|16 34.22 cM|protein-coding	11	2	7	12	11	15	11	6
Prkrip1|8430424D23Rik|C114|-|5|5 G2|protein-coding	42	26	32	35	38	45	28	32
AU040972|AU040954|-|11 B5|11|ncRNA	0	0	0	0	0	0	0	0
Cpa1|0910001L12Rik|Cpa|-|6 A3.3|6 12.52 cM|protein-coding	0	0	1	0	0	0	0	0
Ube2ql1|3110006E14Rik|-|13|13 C1|protein-coding	0	0	0	0	0	0	0	0
Vmn2r86|EG625109|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Dapk1|D13Ucla1|DAP-Kinase|-|13 B2|13 32.53 cM|protein-coding	41	43	24	26	30	52	21	23
Bpifa2|Bpifa2e|Psp|-|2 H1|2 76.15 cM|protein-coding	0	0	0	0	1	0	0	0
Serf1|4F5|Msmac1|m4F5|-|13 D1|13 52.98 cM|protein-coding	6	10	9	7	6	15	8	9
Gm5458|EG432825|-|14 A3|14|protein-coding	0	0	0	0	0	1	0	0
Ms4a4c|5830413L19Rik|AI449185|Ms4a9|-|19|19 A|protein-coding	0	0	0	0	1	0	0	1
Tomm6os|Gm14872|OTTMUSG00000018355|Prickle4os|-|17 C|17|ncRNA	0	0	0	1	0	0	0	0
Foxq1|HFH-1|Hfh1|Hfh1l|sa|-|13 A3.2|13 13.46 cM|protein-coding	0	0	0	0	0	0	0	0
Plxnb3|AI451018|Plxn6|-|X|X A7.3|protein-coding	0	0	0	0	0	0	0	0
Npy|0710005A05Rik|-|6 B2.3|6 24.04 cM|protein-coding	1	1	0	0	0	0	0	0
Trappc4|1500017G03Rik|AI303617|HSPC172|PTD009|Sbd|Sbdn|Sdcbp2|TRS23|-|9|9 A5.2|protein-coding	208	127	168	114	166	193	158	178
Tm4sf19|EG277203|-|16|16 B3|protein-coding	0	0	0	0	0	0	0	0
Chd8|5830451P18Rik|AU015341|Duplin|HELSNF1|mKIAA1564|-|14|14 C2|protein-coding	6	5	6	5	7	8	6	5
Tie1|D430008P04Rik|TIE|tie-1|-|4 D2.1|4 54.67 cM|protein-coding	3	0	0	0	0	0	1	1
Lhx5|Lim2|-|5 F|5 60.62 cM|protein-coding	0	0	0	0	0	0	0	0
Stmnd1|Gm1574|-|13|13 A5|protein-coding	0	0	0	0	0	0	0	0
Romo1|2010100O12Rik|AI853864|-|2|2 H1|protein-coding	1078	608	797	735	827	1034	775	793
Lman1|2610020P13Rik|AI326273|AU043785|C730041J05|ERGIC53|F5F8D|MCFD1|MR60|P58|gp58|-|18|18 E1|protein-coding	111	48	91	61	73	104	57	79
Zfp599|6720416P20|-|9|9 A3|protein-coding	1	1	1	0	1	0	2	1
Olfr785|EG546488|MOR111-8P|Olfr785-ps1|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Zfp444|2810031J10Rik|6230401O10Rik|mFLJ00134|-|7|7 A1|protein-coding	22	16	30	28	30	50	25	25
2810405F15Rik|-|-|2|2 E5|ncRNA	0	0	0	0	0	0	0	0
Olfr1245|MOR23112|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Gusb|AI747421|Gur|Gus|Gus-r|Gus-s|Gus-t|Gus-u|Gut|asd|g|-|5 G1.3|5 68.32 cM|protein-coding	47	37	50	39	42	40	39	63
Mphosph9|4930548D04Rik|9630025B04Rik|AW413446|AW547060|B930097C17Rik|C87456|MPP-9|MPP9|-|5|5 F|protein-coding	3	4	2	4	3	3	3	1
Becn1|4921513J16Rik|5430417M23Rik|Atg6|-|11|11 D|protein-coding	97	69	82	75	91	125	85	108
Lrp3|-|-|7|7 B2|protein-coding	4	0	6	8	6	8	6	7
Olfr214|MOR119-1|-|6|6 E3|protein-coding	0	0	0	0	0	0	0	0
Borcs6|2310047M10Rik|-|11|11 B3|protein-coding	19	11	19	18	12	17	12	18
Rbbp8nl|4732416F18|-|2|2 H4|protein-coding	0	0	0	0	0	0	0	0
Uap1l1|5730445F03Rik|-|2|2 A3|protein-coding	203	97	151	148	206	191	159	178
Zfp472|KRIM-1|Krim-1A|Krim-1B|Krim1|-|17|17 B1|protein-coding	2	3	4	2	5	2	1	3
Lsamp|5430428I19|AW046674|B130007O04Rik|D930023J12Rik|Lam|Lamp|-|16|16 B4|protein-coding	5	1	0	3	2	0	0	1
Timm29|1810026J23Rik|-|9|9 A3|protein-coding	56	34	33	32	37	56	32	51
A530050N04Rik|-|-|18 E1|18|ncRNA	0	0	0	0	0	0	0	0
Hsd17b7|AI266814|ERG27|-|1|1 H3|protein-coding	15	12	14	25	19	19	18	17
Soat2|ACAT2|D15Wsu97e|-|15 F2|15 57.33 cM|protein-coding	0	0	1	0	0	0	1	0
Zfp768|BC026432|Znf768|-|7|7 F3|protein-coding	30	14	16	17	28	22	27	18
Ccdc180|E230008N13Rik|Gm1025|-|4|4 B1|protein-coding	1	0	0	0	0	0	0	0
Map3k4|D17Rp17|D17Rp17e|MAPKKK4|MEKK 4|MTK1|Mek4b|Mekk4|RP17|Rp17a|Tas|mKIAA0213|-|17 8.42 cM|17 A1|protein-coding	26	21	26	20	29	47	24	29
